pathway	pathname	path_genes	up_p	up_cor	up_max_stat	path_genes_up	genes_up	down_p	down_cor	down_max_stat	path_genes_down	genes_down
eco03010	Ribosome - Escherichia coli K-12 MG1655	47	6.46838531797224	-0.0154235052678905	0.049935	27	65	0	-0.457773692885469	-8.29999999999997e-05	17	122
eco00860	Porphyrin and chlorophyll metabolism - Escherichia coli K-12 MG1655	8	0	-0.200147216398649	0.049935	1	70	3.90892851242365	0.604629590758582	-0.070356	7	40
eco01110	Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655	52	0.349434769701242	0.164639418382699	0.049935	1	1	3.90892851242365	0.15427486047677	-0.00355300000000003	29	82
eco00130	Ubiquinone and other terpenoid-quinone biosynthesis - Escherichia coli K-12 MG1655	5	0	-0.631869621875692	0	0	0	2.77574935843595	0.622299833139454	-0.066104	5	46
eco00970	Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655	22	2.52571808808288	0.23788003283397	0	20	155	0	-0.355906331867934	-0.051068	2	47
eco01100	Metabolic pathways - Escherichia coli K-12 MG1655	118	0.145413523835014	-0.428938258568259	0.049935	1	1	2.36260182522974	-0.430560333199313	-0.00355300000000003	50	90
eco03060	Protein export - Escherichia coli K-12 MG1655	10	1.75156028293441	-0.361901347388565	0	10	147	0	-0.903848632904178	0	0	0
eco02024	Quorum sensing - Escherichia coli K-12 MG1655	9	1.2669173468459	-0.463551326266811	0	9	162	0	-0.91686831326957	0	0	0
eco03070	Bacterial secretion system - Escherichia coli K-12 MG1655	8	1.2669173468459	-0.31328519882041	0	8	147	0	-0.904097330720255	0	0	0
eco00030	Pentose phosphate pathway - Escherichia coli K-12 MG1655	2	1.12739933515598	0.813382304285627	0.049935	1	1	0.149453635579597	-0.239249153457473	-0.00355300000000003	1	79
eco00670	One carbon pool by folate - Escherichia coli K-12 MG1655	5	1.12732019475529	0.597773756019498	0.049935	2	9	0.199948698126619	-0.0445935136073617	-0.015223	2	70
eco02010	ABC transporters - Escherichia coli K-12 MG1655	7	0.837473852856655	0.00656975248279575	0	7	167	0	-0.849372438710898	0	0	0
eco00450	Selenocompound metabolism - Escherichia coli K-12 MG1655	1	0.808124215288818	0.882557296394987	0.049935	1	8	0	-0.184983951778142	0	0	0
eco00760	Nicotinate and nicotinamide metabolism - Escherichia coli K-12 MG1655	3	0.808124215288818	0.630676732798832	0.049935	3	93	0	-0.780679076318759	0	0	0
eco03020	RNA polymerase - Escherichia coli K-12 MG1655	3	0.808124215288818	-0.0898228147339155	0.049935	3	91	0	-0.769277358085751	0	0	0
eco03030	DNA replication - Escherichia coli K-12 MG1655	12	0.808124215288818	0.23673631472623	0	10	157	0.199948698126619	0.0153159062888705	-0.111012	1	10
eco03430	Mismatch repair - Escherichia coli K-12 MG1655	9	0.808124215288818	0.419248654222565	0	8	157	0.254204350506123	0.240197469575726	-0.111012	1	10
eco01200	Carbon metabolism - Escherichia coli K-12 MG1655	12	0.747188093444353	0.103094275410358	0.049935	1	1	0.544039879971476	-0.102415136849335	-0.00355300000000003	6	79
eco01230	Biosynthesis of amino acids - Escherichia coli K-12 MG1655	12	0.747188093444353	-0.438326254065011	0.049935	1	1	0.343694126075036	-0.495556882163366	-0.00355300000000003	5	79
eco00230	Purine metabolism - Escherichia coli K-12 MG1655	17	0.650278080436295	0.553699928342232	0.049935	1	1	0.149453635579597	0.375612735628195	-0.111012	1	10
eco01120	Microbial metabolism in diverse environments - Escherichia coli K-12 MG1655	17	0.650278080436295	-0.248634686284443	0.049935	1	1	0.417705465428163	-0.344304416328512	-0.00355300000000003	7	79
eco00260	Glycine, serine and threonine metabolism - Escherichia coli K-12 MG1655	4	0	-0.869590118163244	0	1	166	0.616633861618318	-0.00651731886474258	-0.015223	3	70
eco00521	Streptomycin biosynthesis - Escherichia coli K-12 MG1655	1	0	-0.267150179308486	0	0	0	0.616633861618318	0.818083616779521	-0.142117	1	8
eco00562	Inositol phosphate metabolism - Escherichia coli K-12 MG1655	1	0	-0.267150179308486	0	0	0	0.616633861618318	0.818083616779521	-0.142117	1	8
eco00620	Pyruvate metabolism - Escherichia coli K-12 MG1655	5	0.046291913492599	-0.659372789263691	0.000421999999999978	2	109	0.616633861618318	-0.10693106777978	-0.038035	3	50
eco00640	Propanoate metabolism - Escherichia coli K-12 MG1655	5	0.046291913492599	-0.659372789263691	0.000421999999999978	2	109	0.616633861618318	-0.10693106777978	-0.038035	3	50
eco00680	Methane metabolism - Escherichia coli K-12 MG1655	3	0	-0.750321654665374	0	0	0	0.616633861618318	-0.165311155090636	-0.00355300000000003	3	79
