WORD	Salmonellaecolicitrobacter	Not
protein	1356	248
ribosomal	640	58
subunit	590	53
synthetase	269	67
synthase	194	36
kinase	150	16
factor	145	64
cell	136	5
ligase	135	30
polymerase	124	21
division	119	1
alpha	117	0
domain	105	21
membrane	97	23
beta	81	18
hypothetical	80	26
transferase	69	21
conserved	67	24
trna	65	19
family	63	16
carboxylase	63	0
lipoprotein	62	14
signal	58	0
chain	57	16
topoisomerase	53	16
elongation	49	2
outer	48	3
riboflavin	48	2
transcription	48	0
transporter	47	2
gyrase	44	2
atp-binding	44	0
carrier	43	7
biosynthesis	42	6
peptidase	42	0
reductase	40	10
initiation	39	20
translocase	37	4
translation	36	24
probable	36	6
delta	36	0
putative	35	17
replication	35	0
preprotein	34	3
decarboxylase	33	0
dna-directed	32	17
shape-determining	31	30
dehydrogenase	31	0
system	30	4
acyltransferase	30	0
binding	30	0
acetyl-coa	29	0
precursor	28	14
glutamyl-trna	28	0
udp-n-acetylglucosamine	27	1
penicillin-binding	27	0
adenylyltransferase	27	0
pyrophosphokinase	27	0
termination	27	0
class	26	13
synthetases	26	6
gtp-binding	25	29
inorganic	25	0
permease	24	10
gtpase	24	9
predicted	24	8
cyclohydrolase	24	0
recognition	23	0
deaminase	22	12
c-terminal	22	2
phenylalanyl-trna	22	0
shock	21	0
heat	21	0
bifunctional	21	0
export	20	6
transport	20	4
-kinase	20	0
carboxyl	20	0
helicase	20	0
pantothenate	20	0
guanylate	20	0
acyl	19	13
lipopolysaccharide	19	7
antitermination	19	0
ftsz	19	0
ferrochelatase	19	0
particle	19	0
phosphatidylserine	18	4
pyrophosphatase	18	2
transmembrane	18	1
prolyl-trna	18	0
aspartate-semialdehyde	18	0
4-cyclodiphosphate	18	0
flavodoxin	18	0
undecaprenyl	18	0
adenylate	18	0
chromosomal	18	0
glycerol-3-phosphate	18	0
replicative	18	0
pyrophosphate	18	0
dephospho-coa	18	0
diacylglyceryl	18	0
if-1	18	0
udp-n-acetylenolpyruvoylglucosamine	18	0
prolipoprotein	18	0
porphobilinogen	17	1
reductoisomerase	17	0
1-deoxy-d-xylulose	17	0
ftsa	17	0
n-acyltransferase	17	0
initiator	17	0
enolase	17	0
folylpolyglutamate	17	0
thymidylate	17	0
lipid-a-disaccharide	17	0
7-dimethyl-8-ribityllumazine	17	0
5-phosphate	17	0
sece	17	0
glycine-trna	17	0
component	16	17
lipid	16	1
apolipoprotein	16	0
beta-subunit	16	0
phosphoglycerate	16	0
biotin	15	1
ribose-phosphate	15	0
ftsw	15	0
ftsq	15	0
lipoprotein-releasing	15	0
glutaminyl-trna	15	0
1-carboxyvinyltransferase	15	0
tetraacyldisaccharide	15	0
dna-binding	15	0
s-adenosylmethionine	15	0
4-hydroxybenzoate	15	0
chromosome	15	0
phosphopantetheine	15	0
n-terminal	14	4
assembly	14	4
valyl-trna	14	0
leucyl-trna	14	0
tyrosyl-trna	14	0
glycoprotease	14	0
4-phosphate	14	0
4-dihydroxy-2-butanone	14	0
acetyl-coenzyme	14	0
ubiquinone	14	0
isoleucyl-trna	14	0
methionyl-trna	13	15
integral	13	3
asparaginyl-trna	13	2
coa-acyl	13	0
roda	13	0
nucleotidohydrolase	13	0
malonyl	13	0
-methyltransferase	13	0
deoxyuridine	13	0
alanyl-trna	13	0
-triphosphate	13	0
transacylase	13	0
ribd	12	2
sigma-70	12	0
involved	12	0
cycle	12	0
seryl-trna	12	0
uridylate	12	0
inner	11	6
type	11	4
peptidoglycan	11	2
atpase	11	1
2-c-methyl-d-erythritol	11	0
lolb	11	0
